Name,Instance count,Size (bytes)
java.util.jar.JarVerifier,2,176
java.security.CodeSigner,2,48
org.apache.lucene.index.KeepOnlyLastCommitDeletionPolicy,2,32
org.apache.lucene.index.IndexWriterConfig,2,208
java.io.FileOutputStream$1,2,32
org.apache.lucene.index.TieredMergePolicy,2,160
java.lang.reflect.ReflectPermission,2,48
java.util.concurrent.ConcurrentHashMap$ValuesView,2,32
java.util.StringTokenizer,2,96
java.lang.Integer[ ],2,1064
sun.reflect.generics.repository.ClassRepository,2,64
java.lang.ref.ReferenceQueue$Null,2,64
java.nio.ByteOrder,2,32
java.io.ExpiringCache,2,80
java.io.File$PathStatus,2,48
java.nio.charset.CoderResult,2,48
java.io.PrintStream,2,64
sun.misc.Signal,2,48
java.lang.Thread[ ],2,80
java.io.BufferedInputStream,2,80
java.lang.Boolean,2,32
java.lang.VirtualMachineError,2,64
sun.misc.NativeSignalHandler,2,48
java.util.Hashtable$EntrySet,2,32
java.io.ExpiringCache$1,2,128
sun.management.GarbageCollectorImpl,2,96
sun.management.MemoryManagerImpl,2,80
java.lang.ThreadGroup,2,96
java.lang.management.MemoryType,2,48
org.apache.lucene.analysis.core.StopFilter,2,96
com.jprofiler.agent.util.d,2,48
com.jprofiler.agent.probe.d.e[ ],2,160
org.apache.lucene.analysis.standard.StandardFilter,2,64
org.apache.lucene.analysis.core.LowerCaseFilter,2,80
org.apache.lucene.analysis.standard.StandardAnalyzer$1,2,64
org.apache.lucene.analysis.standard.StandardTokenizer,2,128
org.apache.lucene.document.Field$Store,2,48
org.apache.lucene.analysis.util.CharArrayMap,2,96
org.apache.lucene.util.IntBlockPool,2,80
org.apache.lucene.store.NativeFSLockFactory$NativeFSLock,2,64
org.apache.lucene.index.DocumentsWriterFlushControl,2,272
org.slf4j.impl.SimpleLogger,2,48
org.apache.lucene.util.ByteBlockPool,2,80
java.lang.annotation.RetentionPolicy[ ],2,64
org.apache.lucene.index.IndexFileDeleter,2,128
org.apache.lucene.analysis.ReusableStringReader,2,64
org.apache.lucene.index.DocumentsWriterFlushQueue,2,48
org.apache.lucene.util.Counter$SerialCounter,2,48
org.apache.lucene.index.DocumentsWriterPerThreadPool$ThreadState,2,64
org.apache.lucene.index.DocumentsWriter,2,144
org.apache.lucene.index.DocumentsWriterStallControl,2,80
org.apache.lucene.index.BufferedUpdatesStream,2,80
java.net.InetAddress$CacheEntry,2,48
java.lang.invoke.MethodHandles$Lookup,2,48
org.apache.lucene.index.FieldInfos$FieldNumbers,2,64
java.lang.invoke.MethodType[ ],2,112
java.net.InetAddress$Cache$Type,2,48
java.net.InetAddress$Cache,2,48
java.net.InetAddress[ ],2,64
sun.security.x509.BasicConstraintsExtension,2,64
sun.security.provider.certpath.X509CertPath,2,48
sun.security.util.MemoryCache,2,64
org.apache.lucene.index.FreqProxFields$FreqProxPostingsEnum,2,144
sun.security.x509.NetscapeCertTypeExtension,2,64
java.security.cert.X509Certificate[ ],2,48
java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject,2,48
java.util.Formatter$FormatString[ ],2,72
org.apache.lucene.index.IndexWriter$1,2,48
java.lang.Throwable,2,64
java.lang.invoke.MethodHandleImpl$AsVarargsCollector,2,80
java.util.Locale$Category,2,80
org.apache.lucene.index.IndexWriter,2,368
org.apache.lucene.store.LockValidatingDirectoryWrapper,2,48
org.apache.lucene.index.IndexWriter$ReaderPool,2,48
org.apache.lucene.index.DocumentsWriterPerThreadPool,2,48
java.text.DateFormat$Field[ ],2,200
org.apache.lucene.util.SetOnce,2,48
java.util.regex.Pattern$CharPropertyNames$21,2,32
org.apache.lucene.codecs.lucene50.Lucene50StoredFieldsFormat$Mode,2,48
org.apache.lucene.codecs.lucene54.Lucene54DocValuesConsumer$NumberType,2,48
java.util.regex.Pattern$CharPropertyNames$11,2,32
org.apache.lucene.codecs.lucene50.Lucene50CompoundReader,2,64
sun.security.jca.ProviderConfig[ ],2,72
sun.security.provider.Sun,2,192
sun.security.jca.ProviderList,2,48
java.util.Formatter,2,64
java.net.ServerSocket,2,48
java.security.CryptoPrimitive[ ],2,112
java.util.regex.Pattern$SliceI,2,48
sun.security.jca.ProviderList$3,2,48
sun.security.jca.GetInstance$Instance,2,48
org.apache.log4j.spi.LoggingEvent,2,144
java.util.Currency,2,48
org.apache.lucene.analysis.standard.StandardAnalyzer,2,64
java.security.SecureRandom,2,128
org.apache.lucene.util.packed.BulkOperation[ ],2,416
org.apache.lucene.util.packed.PackedInts$NullReader,2,32
java.util.Calendar$Builder,2,112
org.apache.lucene.store.FlushInfo,2,48
org.apache.lucene.index.NormValuesWriter$1,2,48
sun.util.locale.provider.LocaleResources,2,64
org.apache.lucene.index.PrefixCodedTerms$Builder,1,40
org.apache.lucene.document.Field$Index$1,1,24
org.apache.lucene.document.Field$Index$3,1,24
org.apache.lucene.document.Field$Index$2,1,24
org.apache.lucene.document.Field$TermVector$5,1,24
org.apache.lucene.document.Field$TermVector[ ],1,40
org.apache.lucene.document.Field$Index[ ],1,40
org.apache.lucene.document.Field$Index$4,1,24
org.apache.lucene.search.Query[ ],1,16
org.apache.lucene.index.Term[ ],1,16
org.apache.lucene.index.Term,1,24
org.apache.lucene.analysis.tokenattributes.OffsetAttributeImpl,1,24
org.apache.lucene.document.Field$TermVector$4,1,24
org.apache.lucene.index.DocumentsWriterFlushQueue$SegmentFlushTicket,1,32
org.apache.lucene.index.PrefixCodedTerms,1,32
org.apache.lucene.document.Field$Index$5,1,24
org.apache.lucene.index.FrozenBufferedUpdates,1,56
java.lang.management.PlatformComponent$11,1,16
com.sun.management.VMOption$Origin[ ],1,48
java.lang.management.PlatformComponent$13,1,16
java.lang.management.PlatformComponent$4,1,16
java.util.regex.Pattern$All,1,16
java.util.regex.Pattern$Dollar,1,24
java.util.regex.Pattern$Node,1,16
java.lang.management.PlatformComponent$5,1,16
java.lang.management.PlatformComponent$8,1,16
java.lang.management.PlatformComponent$3,1,16
java.lang.management.PlatformComponent$7,1,16
java.util.Scanner$1,1,24
java.util.regex.Pattern$6,1,24
java.util.regex.Pattern$CharPropertyNames$23,1,16
java.lang.management.PlatformComponent$10,1,16
java.lang.management.PlatformComponent$1,1,16
java.lang.management.PlatformComponent$2,1,16
java.lang.management.PlatformComponent$9,1,16
java.lang.management.PlatformComponent$14,1,16
java.lang.management.PlatformComponent$15,1,16
java.lang.management.PlatformComponent$6,1,16
sun.management.HotSpotDiagnostic,1,16
java.nio.file.StandardCopyOption[ ],1,32
sun.reflect.generics.scope.MethodScope,1,24
java.lang.ArrayIndexOutOfBoundsException,1,32
sun.reflect.generics.tree.TypeSignature[ ],1,16
com.sun.beans.util.Cache$CacheEntry[ ],1,48
java.beans.EventSetDescriptor[ ],1,16
java.lang.reflect.Proxy$KeyFactory,1,16
sun.management.VMManagementImpl,1,24
java.lang.management.PlatformComponent$12,1,16
java.beans.WeakIdentityMap$Entry,1,40
com.sun.beans.util.Cache$Kind[ ],1,32
java.beans.ThreadGroupContext,1,32
java.beans.WeakIdentityMap$Entry[ ],1,48
java.beans.ThreadGroupContext$1,1,32
com.sun.beans.finder.BeanInfoFinder,1,32
java.lang.reflect.WeakCache,1,32
java.lang.reflect.Proxy$ProxyClassFactory,1,16
com.sun.beans.util.Cache$Kind$2,1,24
com.sun.beans.util.Cache$Kind$1,1,24
org.apache.lucene.codecs.lucene50.Lucene50CompoundFormat,1,16
com.sun.beans.util.Cache$Kind$3,1,24
org.apache.lucene.codecs.lucene50.Lucene50StoredFieldsFormat,1,16
com.sun.beans.finder.MethodFinder$1,1,40
sun.reflect.generics.tree.FormalTypeParameter,1,24
java.nio.file.AccessDeniedException,1,40
java.nio.file.Files$AcceptAllFilter,1,16
org.apache.lucene.analysis.tokenattributes.PositionIncrementAttributeImpl,1,16
org.apache.lucene.util.AttributeFactory$DefaultAttributeFactory$1,1,32
org.apache.lucene.codecs.lucene54.Lucene54Codec,1,64
java.util.concurrent.TimeUnit$4,1,24
java.util.concurrent.TimeUnit$3,1,24
org.apache.lucene.util.FrequencyTrackingRingBuffer,1,32
org.apache.lucene.util.FrequencyTrackingRingBuffer$IntBag,1,24
org.apache.lucene.codecs.lucene50.Lucene50TermVectorsFormat,1,32
org.apache.lucene.util.ByteBlockPool$DirectTrackingAllocator,1,24
org.apache.lucene.codecs.lucene50.Lucene50SegmentInfoFormat,1,16
sun.nio.cs.US_ASCII,1,24
sun.nio.cs.UTF_16,1,24
org.apache.lucene.codecs.lucene54.Lucene54Codec$1,1,24
org.apache.lucene.index.DefaultIndexingChain,1,64
sun.reflect.GeneratedConstructorAccessor1,1,16
sun.nio.cs.UTF_16BE,1,24
java.util.RegularEnumSet$EnumSetIterator,1,32
com.sun.crypto.provider.PKCS5Padding,1,16
java.security.AllPermission,1,16
com.sun.nio.file.ExtendedOpenOption[ ],1,32
org.apache.lucene.index.DocumentsWriterPerThread$1,1,16
org.apache.lucene.analysis.NumericTokenStream$NumericAttributeFactory,1,16
org.apache.lucene.codecs.lucene53.Lucene53NormsFormat,1,16
org.apache.lucene.util.AttributeFactory$1,1,24
java.util.concurrent.TimeUnit$2,1,24
java.io.StringWriter,1,24
java.util.concurrent.TimeUnit$5,1,24
sun.nio.ch.SharedFileLockTable$FileLockReference,1,32
org.apache.lucene.codecs.lucene50.Lucene50FieldInfosFormat,1,16
java.util.concurrent.TimeUnit$1,1,24
org.apache.lucene.index.DocumentsWriterPerThread$IntBlockAllocator,1,24
java.util.concurrent.TimeUnit[ ],1,48
sun.nio.cs.UTF_16LE,1,24
org.apache.lucene.document.Field$TermVector$2,1,24
org.apache.lucene.index.DocumentsWriterPerThread,1,104
java.util.concurrent.TimeUnit$7,1,24
org.apache.lucene.codecs.lucene54.Lucene54Codec$2,1,24
sun.nio.cs.ISO_8859_1,1,24
org.apache.lucene.codecs.compressing.CompressingStoredFieldsIndexWriter,1,56
org.apache.lucene.search.similarities.DefaultSimilarity,1,16
org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl,1,16
org.apache.lucene.search.UsageTrackingQueryCachingPolicy,1,24
org.apache.lucene.document.Field$TermVector$1,1,24
org.apache.lucene.index.IndexWriterConfig$OpenMode[ ],1,32
org.apache.lucene.util.AttributeSource$2,1,24
org.apache.lucene.search.IndexSearcher$1,1,16
org.apache.lucene.codecs.lucene50.Lucene50LiveDocsFormat,1,16
org.apache.lucene.analysis.NumericTokenStream$NumericTermAttributeImpl,1,40
java.util.jar.JavaUtilJarAccessImpl,1,16
org.apache.lucene.search.LRUQueryCache,1,80
org.apache.lucene.analysis.Tokenizer$1,1,24
org.apache.lucene.search.QueryCachingPolicy$CacheOnLargeSegments,1,24
java.util.concurrent.TimeUnit$6,1,24
org.apache.lucene.util.LongValues$1,1,16
org.apache.lucene.codecs.compressing.GrowableByteArrayDataOutput,1,32
java.lang.ProcessEnvironment,1,48
com.sun.crypto.provider.SunJCE,1,96
java.lang.invoke.MethodHandleImpl$3,1,16
com.sun.crypto.provider.ElectronicCodeBook,1,24
com.sun.crypto.provider.CipherCore,1,64
sun.misc.Perf,1,16
com.sun.crypto.provider.CipherBlockChaining,1,40
org.apache.lucene.util.AttributeFactory$DefaultAttributeFactory,1,16
java.lang.ProcessEnvironment$NameComparator,1,16
java.lang.ProcessEnvironment$EntryComparator,1,16
java.util.zip.ZipFile$1,1,16
org.apache.lucene.util.ArrayUtil$NaturalComparator,1,16
com.sun.crypto.provider.AESCipher$General,1,24
sun.nio.cs.UTF_8,1,24
java.lang.invoke.MemberName$Factory,1,16
sun.misc.URLClassPath$FileLoader,1,24
org.apache.lucene.util.packed.Direct16,1,24
sun.launcher.LauncherHelper,1,24
sun.launcher.LauncherHelper[ ],1,24
com.sun.crypto.provider.AESCrypt,1,32
sun.nio.cs.ThreadLocalCoders$2,1,24
sun.nio.cs.ThreadLocalCoders$1,1,24
org.apache.lucene.codecs.compressing.LZ4$HashTable,1,24
java.lang.invoke.MethodHandleImpl$4,1,24
java.lang.invoke.MethodHandleImpl$2,1,16
java.util.BitSet,1,24
sun.nio.cs.StandardCharsets,1,32
java.util.Collections$EmptyMap,1,24
java.lang.OutOfMemoryError[ ],1,32
java.io.File[ ],1,16
sun.net.www.protocol.file.Handler,1,16
java.lang.System$2,1,16
sun.misc.Launcher$Factory,1,16
java.lang.ThreadGroup[ ],1,32
java.lang.CharacterDataLatin1,1,16
java.lang.ref.Finalizer$FinalizerThread,1,384
sun.nio.cs.StandardCharsets$Aliases,1,40
java.util.Collections$EmptySet,1,16
java.lang.ref.Reference$ReferenceHandler,1,376
java.lang.reflect.ReflectAccess,1,16
java.util.Locale$Cache,1,24
java.security.ProtectionDomain$2,1,16
sun.util.locale.BaseLocale$Cache,1,24
sun.nio.cs.StandardCharsets$Classes,1,40
java.security.ProtectionDomain$JavaSecurityAccessImpl,1,16
java.lang.String$CaseInsensitiveComparator,1,16
sun.nio.cs.StandardCharsets$Cache,1,40
java.util.Collections$SetFromMap,1,24
java.net.URLClassLoader$7,1,16
java.util.Collections$EmptyList,1,16
sun.reflect.GeneratedMethodAccessor1,1,16
sun.reflect.GeneratedMethodAccessor4,1,16
sun.misc.Launcher,1,16
sun.security.ec.SunEC,1,96
java.nio.charset.CoderResult$2,1,16
java.lang.Runtime,1,16
sun.reflect.ReflectionFactory,1,16
java.lang.ref.Reference$Lock,1,16
java.lang.Float,1,16
java.lang.Terminator$1,1,16
java.lang.Throwable[ ],1,16
sun.misc.Launcher$AppClassLoader,1,96
java.nio.Bits$1,1,16
sun.reflect.GeneratedMethodAccessor2,1,16
java.io.WinNTFileSystem,1,32
sun.reflect.GeneratedMethodAccessor3,1,16
sun.reflect.GeneratedMethodAccessor5,1,16
java.io.File$PathStatus[ ],1,24
sun.misc.Unsafe,1,16
java.lang.Double,1,24
java.lang.Enum[ ],1,16
java.nio.charset.CoderResult$1,1,16
java.lang.ArithmeticException,1,32
sun.misc.Launcher$ExtClassLoader,1,88
java.io.FileDescriptor$1,1,16
java.lang.NullPointerException,1,32
sun.util.resources.en.TimeZoneNames_en,1,48
sun.misc.ASCIICaseInsensitiveComparator,1,16
sun.nio.cs.ext.GBK,1,24
sun.nio.cs.ext.ExtendedCharsets,1,40
sun.util.locale.provider.TimeZoneNameUtility$TimeZoneNameGetter,1,16
sun.util.resources.TimeZoneNames,1,48
sun.util.locale.provider.TimeZoneNameProviderImpl,1,24
org.apache.lucene.index.DocumentsWriter$ForcedPurgeEvent,1,16
org.apache.lucene.index.DocumentsWriter$DeleteNewFilesEvent,1,16
com.jprofiler.agent.probe.a.g,1,32
com.jprofiler.agent.probe.a.a.j,1,24
com.jprofiler.agent.probe.a.ae,1,48
com.jprofiler.agent.probe.a.h,1,24
com.jprofiler.agent.probe.c.p,1,24
sun.reflect.GeneratedMethodAccessor8,1,16
com.jprofiler.agent.probe.c.k,1,56
sun.reflect.GeneratedMethodAccessor7,1,16
com.jprofiler.agent.probe.a.c$a,1,16
com.jprofiler.agent.probe.c.c,1,40
com.jprofiler.agent.probe.a.k,1,24
com.jprofiler.agent.probe.a.aj,1,32
com.jprofiler.agent.probe.a.ag,1,24
java.util.concurrent.ConcurrentHashMap$ValueIterator,1,56
com.jprofiler.agent.probe.c.n,1,16
org.apache.lucene.index.MergeTrigger[ ],1,40
org.apache.lucene.index.DocumentsWriter$MergePendingEvent,1,16
org.apache.lucene.document.Field$TermVector$3,1,24
org.apache.lucene.index.TieredMergePolicy$SegmentByteSizeDescending,1,24
org.apache.lucene.store.MMapDirectory,1,32
com.jprofiler.agent.probe.a.c,1,32
sun.reflect.GeneratedConstructorAccessor4,1,16
com.jprofiler.agent.probe.d.c$b,1,16
java.util.zip.GZIPInputStream,1,56
com.jprofiler.agent.probe.e.f,1,16
com.jprofiler.agent.probe.a.aa,1,32
com.jprofiler.agent.probe.d.i$a,1,16
com.jprofiler.agent.probe.a.r,1,48
com.jprofiler.agent.probe.a.d,1,16
com.jprofiler.agent.probe.a.v,1,24
com.jprofiler.agent.probe.e.a,1,16
com.jprofiler.agent.probe.a.am,1,32
com.jprofiler.agent.probe.a.m,1,72
com.jprofiler.agent.probe.p,1,16
com.jprofiler.agent.probe.a.ao,1,24
com.jprofiler.agent.probe.a.j,1,48
org.apache.lucene.index.IndexOptions[ ],1,40
com.jprofiler.agent.n,1,16
com.jprofiler.agent.probe.a.b,1,24
com.jprofiler.agent.probe.a.i,1,24
com.jprofiler.agent.m,1,16
com.jprofiler.agent.probe.a.n,1,16
com.jprofiler.agent.probe.q,1,16
com.jprofiler.agent.probe.a.l,1,40
com.jprofiler.agent.probe.a.z,1,24
com.jprofiler.agent.probe.a.x,1,40
com.jprofiler.agent.probe.c.l,1,24
com.jprofiler.agent.probe.c.m,1,16
com.jprofiler.agent.probe.a.ad,1,24
com.jprofiler.agent.probe.a.af,1,16
com.jprofiler.agent.probe.a.w,1,24
org.apache.lucene.document.FieldType$NumericType[ ],1,32
com.sun.proxy.$Proxy6,1,16
com.jprofiler.agent.util.a.a.b.q,1,16
org.apache.lucene.analysis.util.CharacterUtils$Java4CharacterUtils,1,16
xaurora.text.XauroraParserTokenManager,1,16
java.lang.management.MemoryPoolMXBean[ ],1,40
org.apache.lucene.index.DocumentsWriterPerThread$FlushedSegment,1,32
org.apache.lucene.index.FreqProxFields,1,16
org.apache.lucene.analysis.util.CharArrayMap$EmptyCharArrayMap,1,48
java.lang.management.MemoryType[ ],1,24
com.jprofiler.agent.util.a.a.b.n$c[ ][ ],1,32
org.apache.lucene.index.NumericDocValuesWriter,1,40
com.jprofiler.agent.util.a.a.b.x,1,24
org.apache.lucene.analysis.Analyzer$2,1,16
sun.nio.cs.UTF_16LE$Encoder,1,56
com.jprofiler.agent.probe.ProbeHandler$a,1,384
sun.nio.cs.UTF_16LE$Decoder,1,56
com.jprofiler.agent.probe.a.o,1,16
sun.reflect.GeneratedConstructorAccessor5,1,16
org.apache.lucene.store.NativeFSLockFactory,1,16
sun.management.OperatingSystemImpl,1,24
com.jprofiler.agent.probe.a.ac,1,24
org.apache.lucene.analysis.util.CharacterUtils$Java5CharacterUtils,1,16
com.jprofiler.agent.probe.c.o,1,16
java.util.zip.GZIPInputStream$1,1,24
com.jprofiler.agent.probe.c.j,1,40
sun.reflect.GeneratedMethodAccessor6,1,16
com.jprofiler.agent.probe.a.an,1,32
java.io.SequenceInputStream,1,24
com.jprofiler.agent.probe.a.q,1,16
org.apache.lucene.analysis.Analyzer$1,1,16
org.apache.lucene.index.FieldInfos$Builder,1,24
com.jprofiler.agent.probe.o,1,24
com.jprofiler.agent.probe.structures.f$a[ ],1,24
org.slf4j.helpers.NOPLoggerFactory,1,16
com.jprofiler.agent.probe.c.i,1,24
org.apache.lucene.index.TermVectorsConsumerPerField[ ],1,24
com.jprofiler.agent.probe.structures.f$a,1,40
xaurora.communication.WordServer,1,24
org.slf4j.impl.SimpleLoggerFactory,1,16
com.jprofiler.agent.probe.e.e[ ],1,32
org.slf4j.impl.StaticLoggerBinder,1,16
org.apache.lucene.index.TermVectorsConsumer,1,80
org.apache.lucene.store.IOContext$Context[ ],1,32
com.jprofiler.agent.probe.structures.f,1,72
com.jprofiler.agent.util.a.b.r,1,40
org.apache.lucene.index.FreqProxTermsWriter,1,40
com.jprofiler.agent.probe.JavaCollector,1,56
org.apache.lucene.index.DocValuesType[ ],1,40
com.jprofiler.agent.util.a.a.b.s,1,24
com.jprofiler.agent.JProfilerThreadManager[ ],1,24
com.jprofiler.agent.util.a.b.aj,1,64
com.jprofiler.agent.probe.a.al,1,24
java.lang.management.MemoryManagerMXBean[ ],1,32
sun.net.www.protocol.jar.JarFileFactory,1,16
xaurora.text.XauroraParser,1,16
com.jprofiler.agent.util.a.a.b.y,1,24
org.apache.lucene.document.Field$Store[ ],1,24
com.jprofiler.agent.probe.a.aq,1,24
xaurora.communication.ChromeServer,1,40
xaurora.text.SimpleCharStream,1,16
com.jprofiler.agent.util.a.a.b.e$a[ ],1,24
org.slf4j.helpers.SubstituteLoggerFactory,1,24
com.jprofiler.agent.util.a.a.b.e$a,1,24
org.apache.lucene.codecs.compressing.CompressingStoredFieldsWriter,1,80
com.jprofiler.agent.probe.c.h,1,40
org.apache.lucene.index.DocumentsWriterPerThread$DocState,1,40
org.apache.lucene.store.MMapDirectory$2,1,16
org.apache.lucene.store.RAMOutputStream[ ],1,24
xaurora.system.DBManager,1,32
com.jprofiler.agent.probe.a.ah,1,56
com.jprofiler.agent.util.a.a.b.n$s[ ],1,32
sun.net.www.protocol.jar.URLJarFile,1,80
com.jprofiler.agent.probe.a.ap,1,40
com.jprofiler.agent.util.a.a.b.ad,1,24
javax.crypto.spec.RC5ParameterSpec,1,32
com.jprofiler.agent.util.a.a.b.r,1,24
com.jprofiler.agent.util.a.a.b.t,1,24
com.jprofiler.agent.util.a.a.a.a$b,1,16
com.jprofiler.agent.util.a.a.a.a$a,1,16
com.jprofiler.agent.util.a.a.b.v,1,24
com.jprofiler.agent.probe.a.s,1,48
org.apache.lucene.analysis.NumericTokenStream,1,48
com.jprofiler.agent.util.a.a.b.w,1,24
com.jprofiler.agent.util.a.a.b.u,1,24
com.jprofiler.agent.util.a.b.a.c,1,16
javax.crypto.spec.RC2ParameterSpec,1,24
com.jprofiler.agent.util.a.a.b.p,1,16
com.jprofiler.agent.probe.a.ah$c,1,16
org.apache.lucene.index.BufferedUpdatesStream$1,1,16
com.jprofiler.agent.probe.a.a.i,1,24
com.jprofiler.agent.probe.a.ai,1,24
com.jprofiler.api.agent.ProbeObjectType[ ],1,32
com.jprofiler.agent.util.a.a.b.af,1,24
java.lang.Character[ ],1,528
com.jprofiler.agent.util.a.a.b.ae,1,24
java.lang.Short[ ],1,1040
java.lang.invoke.MethodType$ConcurrentWeakInternSet,1,24
com.jprofiler.agent.probe.a.a.h,1,32
com.jprofiler.agent.util.a.a.b.o,1,16
java.net.InetAddress$2,1,16
com.sun.net.ssl.internal.ssl.Provider,1,96
sun.security.validator.EndEntityChecker,1,24
javax.crypto.CryptoAllPermission,1,40
sun.nio.cs.Surrogate$Parser,1,24
java.net.InetAddress$Cache$Type[ ],1,24
sun.text.normalizer.NormalizerBase$NFCMode,1,16
java.net.Inet6AddressImpl,1,24
java.util.LinkedHashMap$LinkedKeyIterator,1,32
sun.security.validator.SimpleValidator,1,32
sun.text.normalizer.NormalizerBase$NFKDMode,1,16
sun.text.normalizer.NormalizerBase$Mode,1,16
java.text.Normalizer$Form[ ],1,32
sun.security.jca.ServiceId[ ],1,40
org.apache.lucene.index.TermsEnum$2,1,16
org.apache.lucene.util.fst.ByteSequenceOutputs,1,16
sun.text.normalizer.NormalizerBase$NFKCMode,1,16
sun.security.util.ObjectIdentifier[ ],1,88
org.apache.lucene.codecs.perfield.PerFieldPostingsFormat$FieldsGroup,1,24
org.apache.lucene.index.Fields[ ],1,16
sun.security.x509.SubjectAlternativeNameExtension,1,32
sun.text.normalizer.NormalizerBase$NFDMode,1,16
org.apache.lucene.index.Terms[ ],1,16
java.lang.Byte[ ][ ],1,88
org.apache.lucene.codecs.perfield.PerFieldPostingsFormat$FieldsWriter$1,1,24
sun.security.x509.GeneralName,1,16
org.apache.lucene.util.fst.FST$INPUT_TYPE[ ],1,32
sun.security.x509.RFC822Name,1,16
sun.security.rsa.RSAKeyFactory,1,16
sun.security.util.ByteArrayLexOrder,1,16
org.apache.lucene.codecs.lucene50.ForUtil,1,32
org.apache.lucene.codecs.lucene50.Lucene50SkipWriter,1,128
sun.security.x509.GeneralNames,1,16
sun.security.x509.KeyUsageExtension,1,32
sun.security.util.ByteArrayTagOrder,1,16
sun.security.x509.NetscapeCertTypeExtension$MapEntry[ ],1,48
java.nio.file.LinkOption,1,24
javax.crypto.Cipher,1,64
java.io.StringReader,1,40
java.nio.file.CopyOption[ ],1,24
java.util.concurrent.LinkedBlockingQueue$Node,1,24
java.util.LinkedHashSet,1,16
sun.security.jca.ProviderList$ServiceList,1,48
sun.security.rsa.SunRsaSign,1,96
sun.security.jca.ProviderList$ServiceList$1,1,24
sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl,1,24
java.lang.invoke.LambdaFormEditor$Transform[ ],1,32
java.lang.invoke.DirectMethodHandle$Special,1,32
javax.crypto.spec.SecretKeySpec,1,24
java.util.concurrent.LinkedBlockingQueue,1,48
org.apache.lucene.codecs.lucene54.Lucene54DocValuesConsumer,1,24
org.apache.lucene.codecs.lucene53.Lucene53NormsConsumer,1,24
sun.reflect.generics.scope.ClassScope,1,24
org.apache.lucene.util.BytesRef$UTF8SortedAsUTF16Comparator,1,16
java.lang.invoke.BoundMethodHandle$Species_L4,1,48
sun.reflect.generics.reflectiveObjects.TypeVariableImpl,1,32
org.apache.lucene.util.BytesRef$UTF8SortedAsUnicodeComparator,1,16
org.apache.lucene.codecs.lucene50.Lucene50PostingsWriter,1,168
org.apache.lucene.codecs.PostingsFormat[ ],1,16
sun.reflect.generics.tree.MethodTypeSignature,1,32
org.apache.lucene.codecs.perfield.PerFieldDocValuesFormat$FieldsWriter,1,32
java.util.Locale$Category[ ],1,24
sun.util.calendar.Gregorian,1,16
java.lang.invoke.LambdaForm$Name[ ][ ],1,40
org.apache.lucene.codecs.compressing.CompressingStoredFieldsFormat,1,40
org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter,1,80
org.apache.lucene.codecs.lucene54.Lucene54DocValuesFormat,1,16
org.apache.lucene.util.InfoStream$NoOutput,1,16
sun.reflect.generics.tree.BottomSignature,1,16
sun.reflect.generics.tree.Wildcard,1,24
java.lang.invoke.MethodHandleImpl$Intrinsic[ ],1,48
sun.reflect.generics.reflectiveObjects.WildcardTypeImpl,1,32
org.apache.lucene.codecs.lucene50.Lucene50PostingsFormat,1,24
java.util.regex.Pattern$CharPropertyNames$7,1,16
java.util.regex.Pattern$CharPropertyNames$17,1,16
java.util.regex.Pattern$CharPropertyNames$8,1,16
java.util.regex.Pattern$CharPropertyNames$18,1,16
java.util.regex.Pattern$CharPropertyNames$20,1,16
sun.reflect.generics.repository.MethodRepository,1,40
java.lang.invoke.LambdaFormEditor$Transform$Kind[ ],1,72
sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl,1,40
org.apache.lucene.util.packed.BulkOperationPacked18,1,48
org.apache.lucene.codecs.compressing.CompressionMode$1,1,16
org.apache.lucene.util.packed.BulkOperationPacked20,1,48
sun.nio.fs.WindowsSecurityDescriptor,1,24
java.util.regex.Pattern$CharPropertyNames$12,1,16
org.apache.lucene.util.packed.BulkOperationPacked13,1,48
org.apache.lucene.util.packed.BulkOperationPacked12,1,48
org.apache.lucene.codecs.perfield.PerFieldPostingsFormat$FieldsWriter,1,24
org.apache.lucene.util.packed.BulkOperationPacked14,1,48
org.apache.lucene.codecs.compressing.CompressionMode$2,1,16
java.util.regex.Pattern$4,1,16
org.apache.lucene.util.packed.BulkOperationPacked23,1,48
java.util.regex.Pattern$CharPropertyNames$13,1,16
org.apache.lucene.util.packed.BulkOperationPacked24,1,48
org.apache.lucene.codecs.compressing.CompressionMode$LZ4FastCompressor,1,16
java.util.Scanner,1,136
org.apache.lucene.codecs.compressing.CompressionMode$3,1,16
org.apache.lucene.util.CollectionUtil$ListIntroSorter,1,24
org.apache.lucene.codecs.compressing.CompressionMode$4,1,16
org.apache.lucene.codecs.lucene50.Lucene50StoredFieldsFormat$Mode[ ],1,24
sun.nio.fs.WindowsChannelFactory$1,1,16
org.apache.lucene.util.packed.BulkOperationPacked21,1,48
org.apache.lucene.util.packed.BulkOperationPacked22,1,48
javax.crypto.JceSecurityManager,1,16
java.util.regex.Pattern$CharPropertyNames$9,1,16
java.util.regex.Pattern$CharPropertyNames$14,1,16
java.util.zip.CheckedInputStream,1,24
